Rk,Player,Nation,Pos,Squad,Born,Min,CrdY,Ast,G-PK,xG,xA,npxG,npxG+xA,Sh/90,SoT/90,G/SoT,TotCmp%,TotDist,PrgDist,ShortCmp%,MedCmp%,LongCmp%,Prog,Live,Dead,TB,Press,Sw,Crs,Ground,Low,High,Left,Right
199,Luis Felipe\Luis-Felipe,br BRA,MF,San Jose,1996,42,1,0,0,0,0,0,0,0,0,,88.9,321,87,,92.9,75,1,17,1,0,2,2,0,14,0,4,10,6
200,Rolf Feltscher\Rolf-Feltscher,ve VEN,DF,LA Galaxy,1990,2178,7,0.12,0.04,0.07,0.14,0.07,0.22,0.62,0.12,0.33,78.7,17870,7579,22.5,86.6,61.7,155,1026,216,2,164,30,105,710,245,287,94,893
201,Gerso Fernandes\Gerso-Fernandes,gw GNB,FWMF,Sporting KC,1991,1745,5,0.31,0.1,0.29,0.23,0.29,0.52,2.11,0.72,0.14,70.6,4911,1272,17.4,80.1,38.6,42,446,13,1,90,10,41,339,68,52,401,43
202,Brian Fernández\Brian-Fernandez,ar ARG,FW,Portland,1994,1409,4,0.06,0.7,0.54,0.17,0.54,0.7,4.15,1.92,0.37,79,4119,736,60,82.5,69.6,24,276,24,2,53,4,6,197,53,50,54,213
203,Omir Fernandez\Omir-Fernandez,us USA,FWMF,NY Red Bulls,1999,580,0,0.16,0.31,0.35,0.16,0.35,0.51,2.17,1.09,0.29,79.4,1475,395,53.8,84.1,50,10,147,8,1,32,0,5,122,18,15,21,121
204,Juan Fernando Caicedo\Juan-Fernando-Caicedo,co COL,FW,New England,1989,1073,2,0.17,0.42,0.41,0.09,0.41,0.5,2.01,0.75,0.56,77.6,2857,399,50,80.6,71.4,15,215,35,0,58,2,4,172,40,38,11,202
205,Jesus Ferreira\Jesus-Ferreira,us USA,FWMF,FC Dallas,2000,2439,4,0.18,0.3,0.34,0.1,0.34,0.44,2.18,0.85,0.35,82,13046,2611,42.4,88.1,68.3,94,859,41,1,168,17,11,633,179,88,73,792
206,Marcelo dos Santos Ferreira\Marcelo-dos-Santos-Ferreira,br BRA,DF,Chicago,1989,1151,1,0,0,0.02,0,0.02,0.02,0.39,0.08,0,78.3,8998,3419,40,87.8,66.7,35,480,18,0,53,17,5,329,53,116,47,407
207,Carlos Fierro\Carlos-Fierro,mx MEX,FWMF,San Jose,1994,229,0,0,0,0.42,0.01,0.42,0.43,2.75,0.39,0,74.4,932,327,40,84.4,38.5,11,74,8,0,13,1,11,42,22,18,11,61
208,Maynor Figueroa\Maynor-Figueroa,hn HON,DF,Houston,1983,2249,6,0.04,0,0.03,0.05,0.03,0.09,1.16,0.24,0,83.9,26191,11184,28.6,91.7,73.2,159,1310,41,3,188,73,6,986,132,233,1150,118
209,Ethan Finlay\Ethan-Finlay,us USA,FWMF,Minnesota,1990,1911,3,0.09,0.24,0.35,0.13,0.28,0.41,1.6,0.38,0.63,66.8,4602,1359,19.4,76.4,40,45,444,8,1,67,13,52,290,76,86,68,345
210,Andrés Flores\Andres-Flores,sv SLV,MF,Portland,1990,778,0,0.12,0,0.06,0.01,0.06,0.07,1.04,0.12,0,86,5153,1320,58.3,90.1,72.1,22,348,8,0,61,4,3,277,44,35,26,312
